RowId,customerID,gender,SeniorCitizen,Partner,Supplementary Line,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0096-BXERSMonth-to-monthElectronic check,0096-BXERS,female,0,Yes,,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,n,Electronic check,50.35,314.55,No
0178-CIIKRMonth-to-monthMailed check,0178-CIIKR,female,0,No,,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58,No
0318-ZOPWSTwo yearBank transfer (automatic),0318-ZOPWS,Female,0,Yes,,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No
4445-ZJNMUMonth-to-monthCredit card (automatic),4445-ZJNMU,M,0,No,,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No
1680-VDCWWOne yearBank transfer (automatic),1680-VDCWW,M,0,Yes,,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,n,Bank transfer (automatic),19.8,202.25,No
8937-RDTHPMonth-to-monthMailed check,8937-RDTHP,M,0,No,,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes
9514-JDSKIMonth-to-monthElectronic check,9514-JDSKI,M,1,Yes,,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,n,Electronic check,40.2,40.2,Yes
4385-GZQXVMonth-to-monthElectronic check,4385-GZQXV,Female,1,No,,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes
2840-XANRCMonth-to-monthElectronic check,2840-XANRC,M,1,Yes,,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes
7982-VCELRMonth-to-monthCredit card (automatic),7982-VCELR,Female,0,No,,No,36,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.8,3565.65,No
1996-DBMUSMonth-to-monthBank transfer (automatic),1996-DBMUS,Female,1,Yes,,No,48,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.65,3545.05,No
0771-WLCLAMonth-to-monthElectronic check,0771-WLCLA,Female,0,Yes,,Yes,16,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,112.95,1882.55,No
5736-YEJAXTwo yearCredit card (automatic),5736-YEJAX,M,0,No,,Yes,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.45,5502.55,No
8981-FJGLAMonth-to-monthMailed check,8981-FJGLA,M,0,No,,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,78,851.8,No
1431-CYWMHMonth-to-monthBank transfer (automatic),1431-CYWMH,female,0,Yes,,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.05,454.05,No
2817-NTQDOMonth-to-monthCredit card (automatic),2817-NTQDO,M,0,No,,No,13,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),45.55,597,Yes
0619-OLYURTwo yearCredit card (automatic),0619-OLYUR,M,0,Yes,,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),111.9,8071.05,No
7134-MJPDYOne yearCredit card (automatic),7134-MJPDY,Female,1,No,,No,66,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),102.85,6976.75,No
1552-CZCLLMonth-to-monthCredit card (automatic),1552-CZCLL,female,0,Yes,,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,n,Credit card (automatic),20,1087.25,No
1565-RHDJDMonth-to-monthBank transfer (automatic),1565-RHDJD,female,0,No,,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,n,Bank transfer (automatic),84.05,333.55,Yes
0970-ETWGEMonth-to-monthElectronic check,0970-ETWGE,M,0,No,YES,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,Yes
1596-OQSPSMonth-to-monthElectronic check,1596-OQSPS,female,0,No,,No,11,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,51.1,531.15,No
3445-HXXGFMonth-to-monthElectronic check,3445-HXXGF,M,1,Yes,,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes
7929-DMBCVMonth-to-monthMailed check,7929-DMBCV,Female,0,Yes,,No,20,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,81,1683.7,No
7503-MIOGATwo yearBank transfer (automatic),7503-MIOGA,Female,1,Yes,,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.85,6697.35,No
5138-WVKYJMonth-to-monthElectronic check,5138-WVKYJ,M,0,No,,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,n,Electronic check,98.55,1008.55,Yes
1910-FMXJMMonth-to-monthElectronic check,1910-FMXJM,female,0,Yes,,No,36,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,n,Electronic check,80.4,2937.65,No
4678-DVQEOMonth-to-monthElectronic check,4678-DVQEO,Female,0,No,,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.2,52.2,Yes
9926-PJHDQTwo yearBank transfer (automatic),9926-PJHDQ,Female,0,Yes,,Yes,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.8,5468.45,No
4250-WAROZMonth-to-monthElectronic check,4250-WAROZ,M,1,Yes,,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.25,5774.55,No
5543-QDCRYMonth-to-monthElectronic check,5543-QDCRY,M,0,No,,No,4,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,56.4,234.85,No
3043-SUDUAMonth-to-monthBank transfer (automatic),3043-SUDUA,female,0,No,,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.9,601.55,No
9845-PEEKOTwo yearCredit card (automatic),9845-PEEKO,Female,1,No,,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),79.2,4590.35,No
3143-JQEGIMonth-to-monthElectronic check,3143-JQEGI,female,0,Yes,,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,n,Electronic check,88.35,1222.8,Yes
0343-QLUZPTwo yearBank transfer (automatic),0343-QLUZP,M,0,No,,No,60,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,n,Bank transfer (automatic),39.6,2424.5,No
3272-VUHPVMonth-to-monthBank transfer (automatic),3272-VUHPV,female,0,Yes,,Yes,8,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,n,Bank transfer (automatic),56.3,401.5,No
3420-YJLQTMonth-to-monthElectronic check,3420-YJLQT,female,0,No,,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,n,Electronic check,79.55,151.75,No
0455-ENTCRTwo yearElectronic check,0455-ENTCR,M,0,Yes,,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,n,Electronic check,85.25,5538.35,No
6248-TKCQVTwo yearBank transfer (automatic),6248-TKCQV,Female,0,Yes,,Yes,70,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.6,5460.2,No
4827-USJHPMonth-to-monthMailed check,4827-USJHP,M,0,No,,No,20,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,51.8,1023.85,No
1184-PJVDBMonth-to-monthElectronic check,1184-PJVDB,M,0,Yes,,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,857.2,Yes
9052-VKDUWMonth-to-monthCredit card (automatic),9052-VKDUW,Female,1,Yes,YES,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.4,7227.45,No
0222-CNVPTMonth-to-monthCredit card (automatic),0222-CNVPT,M,1,No,,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,No
7351-KYHQHMonth-to-monthElectronic check,7351-KYHQH,Female,1,No,,No,7,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,64.95,493.65,No
4592-IWTJIMonth-to-monthCredit card (automatic),4592-IWTJI,female,0,Yes,,Yes,3,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,no,Credit card (automatic),29.7,91.7,Yes
4690-LLKUAMonth-to-monthElectronic check,4690-LLKUA,M,1,No,,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,Yes
9964-WBQDJTwo yearCredit card (automatic),9964-WBQDJ,Female,0,Yes,,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.4,1725.4,No
5153-RTHKFMonth-to-monthElectronic check,5153-RTHKF,female,0,No,,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,n,Electronic check,85.35,2896.6,No
5154-VEKBLMonth-to-monthMailed check,5154-VEKBL,female,0,No,,No,9,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,n,Mailed check,58.5,539.85,Yes
